{:jobTitle=>"newQuality Control Line Inspector (Day & night shift)", :companyName=>"Sigan Industries Group", :companyLocation=>"Brampton, ON"}
{:jobTitle=>"Cleanroom Manager", :companyName=>"Aved", :companyLocation=>"Oshawa, ON"}
{:jobTitle=>"Quality Control Microbiologist Level III", :companyName=>"Trillium Health Care Products", :companyLocation=>"Brockville, ON"}
{:jobTitle=>"Microbiologist Supervisor", :companyName=>"Trillium Health Care Products", :companyLocation=>"Brockville, ON"}
{:jobTitle=>"Microbiologist, QC Environmental Monitoring (12 Month Contra...", :companyName=>"Apotex Inc.", :companyLocation=>"Richmond Hill, ON+1 location"}
{:jobTitle=>"toxicologist", :companyName=>"Seroclinix", :companyLocation=>"Mississauga, ON"}
{:jobTitle=>"QC Microbiologist", :companyName=>"Bora Pharmaceutical Services", :companyLocation=>"Mississauga, ON"}
{:jobTitle=>"newMicrobiologist", :companyName=>"DermaMed Pharmaceutical", :companyLocation=>"Richmond, BC"}
{:jobTitle=>"Senior Microbiologist", :companyName=>"Crystal Claire Cosmetics", :companyLocation=>"Scarborough, ON"}
{:jobTitle=>"newResearch Technician - Externally Funded -21- 0410", :companyName=>"Public Health Ontario", :companyLocation=>"Toronto, ON"}
{:jobTitle=>"Microbiologist", :companyName=>"Cytiva", :companyLocation=>"Burnaby, BC"}
{:jobTitle=>"newAssociate, QC Microbiology", :companyName=>"Resilience", :companyLocation=>"Mississauga, ON"}
{:jobTitle=>"Microbiologist II", :companyName=>"Merieux NutriSciences", :companyLocation=>"Markham, ON"}
{:jobTitle=>"biological scientist", :companyName=>"Custom Biologics", :companyLocation=>"Etobicoke, ON"}
{:jobTitle=>"biological scientist", :companyName=>"Yonge Cummer Medical Centre", :companyLocation=>"North York, ON"}
{:jobTitle=>"Microbiologist", :companyName=>"Element Materials Technology", :companyLocation=>"Calgary, AB"}
{:jobTitle=>"TENURE TRACK FACULTY POSITIONS IN THE DEPARTMENT OF MICROBIO...", :companyName=>"Université de Sherbrooke", :companyLocation=>"Sherbrooke, QC"}
{:jobTitle=>"Scientist, in vitro", :companyName=>"Novobind", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"Medical Laboratory Technologist, Microbiology", :companyName=>"Grand River Hospital", :companyLocation=>"Kitchener, ON"}
{:jobTitle=>"Practitioner, Infection Prevention and Control (ICP)", :companyName=>"Island Health", :companyLocation=>"Campbell River, BC"}
{:jobTitle=>"newQuality Control Line Inspector (Day & night shift)", :companyName=>"Sigan Industries Group", :companyLocation=>"Brampton, ON"}
{:jobTitle=>"Senior Laboratory Technician", :companyName=>"Novobind", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"newAssociate, QC Microbiology", :companyName=>"Resilience", :companyLocation=>"Mississauga, ON"}
{:jobTitle=>"Microbiologist", :companyName=>"Cytiva", :companyLocation=>"Burnaby, BC"}
{:jobTitle=>"biological scientist", :companyName=>"Yonge Cummer Medical Centre", :companyLocation=>"North York, ON"}
{:jobTitle=>"biological scientist", :companyName=>"Custom Biologics", :companyLocation=>"Etobicoke, ON"}
{:jobTitle=>"Microbiologist II", :companyName=>"Merieux NutriSciences", :companyLocation=>"Markham, ON"}
{:jobTitle=>"Cleanroom Manager", :companyName=>"Aved", :companyLocation=>"Oshawa, ON"}
{:jobTitle=>"Microbiologist", :companyName=>"Element Materials Technology", :companyLocation=>"Calgary, AB"}
{:jobTitle=>"microbiologist", :companyName=>"Eastern Health", :companyLocation=>"Mount Pearl, NL"}
{:jobTitle=>"biological scientist", :companyName=>"Xenon Pharmaceuticals Inc.", :companyLocation=>"Burnaby, BC"}
{:jobTitle=>"TENURE TRACK FACULTY POSITIONS IN THE DEPARTMENT OF MICROBIO...", :companyName=>"Université de Sherbrooke", :companyLocation=>"Sherbrooke, QC"}
{:jobTitle=>"newQuality Control Line Inspector (Day & night shift)", :companyName=>"Sigan Industries Group", :companyLocation=>"Brampton, ON"}
{:jobTitle=>"Medical Laboratory Technologist, Microbiology", :companyName=>"Grand River Hospital", :companyLocation=>"Kitchener, ON"}
{:jobTitle=>"Practitioner, Infection Prevention and Control (ICP)", :companyName=>"Island Health", :companyLocation=>"Campbell River, BC"}
{:jobTitle=>"Scientist, in vitro", :companyName=>"Novobind", :companyLocation=>"Vancouver, BC"}
{:jobTitle=>"Senior Laboratory Technician", :companyName=>"Novobind", :companyLocation=>"Vancouver, BC"}
